                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.26201,                0.44398,                 0.9716,                0.73758,                 0.8039,                 0.7843,                  0.751,                0.30018,                0.87921,                0.95894,               0.002377,               0.002377,               0.002377
                     79,                0.25397,                0.43394,                0.96589,                0.74754,                0.79188,                0.79297,                0.76187,                0.29354,                0.88656,                0.94739,               0.002278,               0.002278,               0.002278
                     80,                0.25011,                0.42392,                0.96267,                0.74103,                0.78106,                0.79048,                0.76315,                0.28791,                0.84874,                0.94079,               0.002179,               0.002179,               0.002179
                     81,                 0.2496,                0.42397,                0.96438,                 0.7442,                0.75916,                0.78812,                0.75945,                0.28391,                0.87187,                0.94402,                0.00208,                0.00208,                0.00208
                     82,                0.24831,                0.41241,                0.96468,                0.73512,                0.78296,                0.78867,                0.75891,                 0.2876,                0.87256,                0.94693,               0.001981,               0.001981,               0.001981
                     83,                0.24462,                0.40646,                0.95766,                 0.7579,                0.77581,                0.79506,                0.76204,                0.29404,                0.87864,                0.95771,               0.001882,               0.001882,               0.001882
                     84,                0.24585,                0.40633,                0.96251,                0.74765,                0.77554,                0.79235,                0.76258,                0.28573,                0.89514,                0.94857,               0.001783,               0.001783,               0.001783
                     85,                0.24309,                0.39345,                 0.9584,                0.77286,                0.74366,                0.79104,                0.76143,                0.28556,                 0.8979,                0.94683,               0.001684,               0.001684,               0.001684
                     86,                0.23802,                0.39724,                0.95589,                0.77237,                0.73686,                0.78911,                0.75894,                0.28936,                0.90015,                0.94955,               0.001585,               0.001585,               0.001585
                     87,                0.23717,                0.39296,                0.95651,                0.75487,                0.77607,                0.79654,                0.76681,                0.28736,                0.86902,                 0.9433,               0.001486,               0.001486,               0.001486
                     88,                0.23466,                0.37708,                0.95597,                0.74825,                0.78809,                0.79255,                0.76065,                0.28741,                 0.8537,                0.94449,               0.001387,               0.001387,               0.001387
                     89,                0.23197,                0.38045,                 0.9533,                0.79543,                0.72966,                0.79258,                0.76041,                0.28916,                0.86918,                0.95046,               0.001288,               0.001288,               0.001288
                     90,                 0.2289,                0.36619,                0.95193,                0.76148,                 0.7521,                0.78607,                0.75728,                0.28742,                0.87338,                0.95069,               0.001189,               0.001189,               0.001189
                     91,                0.16179,                0.21599,                 0.9103,                 0.7879,                 0.7441,                0.78831,                0.75707,                0.28599,                0.87115,                0.95102,                0.00109,                0.00109,                0.00109
                     92,                0.15513,                0.19638,                0.89819,                0.80365,                0.73638,                0.78878,                 0.7589,                0.28955,                0.85734,                0.95388,               0.000991,               0.000991,               0.000991
                     93,                0.15403,                 0.1861,                0.90128,                 0.7888,                0.74898,                0.78985,                0.76034,                0.27818,                0.85288,                0.94217,               0.000892,               0.000892,               0.000892
                     94,                0.14822,                0.17833,                0.89678,                0.78934,                0.75555,                0.79645,                0.76677,                0.27654,                0.84863,                0.93846,               0.000793,               0.000793,               0.000793
                     95,                0.14445,                0.17181,                0.89544,                  0.767,                0.76498,                0.79384,                0.76498,                0.27606,                0.86248,                0.93782,               0.000694,               0.000694,               0.000694
                     96,                0.14074,                0.16791,                0.89198,                 0.7847,                0.74885,                0.79268,                0.76474,                0.27139,                0.86351,                0.93331,               0.000595,               0.000595,               0.000595
                     97,                0.13894,                0.16133,                 0.8922,                0.78403,                0.73695,                0.79063,                0.76311,                0.27397,                0.86307,                0.93819,               0.000496,               0.000496,               0.000496
                     98,                0.13659,                0.15647,                0.89102,                0.80346,                0.72837,                0.79361,                 0.7659,                0.26898,                0.86259,                0.93594,               0.000397,               0.000397,               0.000397
                     99,                0.13495,                0.15019,                0.89194,                0.75098,                0.78255,                0.79333,                0.76689,                0.26609,                0.84618,                0.93287,               0.000298,               0.000298,               0.000298
                    100,                0.13169,                0.14772,                 0.8868,                0.76813,                0.76979,                0.79384,                0.76706,                0.26788,                0.84442,                 0.9367,               0.000199,               0.000199,               0.000199
